64
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
12 17 6 22 9 28 2 13 34 4 18 41 0 7 23 48 49 1 10 29 54 55 3 14 35 36 60 58 5 19 42 43 62 52 8 24 25 50 47 63 45 11 30 31 56 40 61 38 15 16 37 59 33 57 20 21 44 53 27 51 26 46 32 39
13 7 23 6 14 2 35 36 12 24 25 0 50 47 49 17 22 37 38 16 1 3 59 33 58 34 9 28 51 52 27 8 4 5 46 21 20 45 48 18 41 61 55 54 40 15 10 11 39 32 31 30 60 29 63 62 43 42 26 19 53 44 57 56
14 24 7 25 37 38 13 2 16 50 51 52 23 6 0 27 8 35 59 61 55 54 36 12 1 3 40 15 47 46 63 62 43 41 49 17 22 4 5 42 26 33 39 32 57 60 29 28 58 34 9 10 11 56 21 20 53 44 48 18 45 19 31 30
15 8 26 27 3 16 32 39 40 5 0 25 20 46 53 43 42 11 1 2 38 14 33 59 57 56 55 29 21 4 6 7 52 24 47 51 50 63 44 41 18 31 9 10 12 13 54 37 36 35 61 60 30 28 45 19 17 22 23 62 49 48 58 34
16 27 25 8 40 15 38 14 3 43 42 26 52 24 7 5 0 55 29 56 32 39 54 37 13 2 11 1 41 18 44 53 20 46 62 50 51 23 6 21 4 28 10 9 30 57 33 59 60 61 35 36 12 31 22 17 19 45 63 47 48 49 34 58
17 12 9 28 6 22 4 18 41 2 13 34 1 10 29 54 55 0 7 23 48 49 5 19 42 43 62 52 3 14 35 36 60 58 11 30 31 56 40 61 38 8 24 25 50 47 63 45 20 21 44 53 27 51 15 16 37 59 33 57 32 39 26 46
18 10 29 9 19 4 42 43 17 30 31 1 56 40 55 12 28 44 45 21 0 5 53 27 52 41 6 22 57 58 33 11 2 3 39 16 15 38 54 13 34 63 49 48 47 20 7 8 46 26 25 24 62 23 61 60 36 35 32 14 59 37 51 50
19 30 10 31 44 45 18 4 21 56 57 58 29 9 1 33 11 42 53 63 49 48 43 17 0 5 47 20 40 39 61 60 36 34 55 12 28 2 3 35 32 27 46 26 51 62 23 22 52 41 6 7 8 50 16 15 59 37 54 13 38 14 25 24
20 11 32 33 5 21 26 46 47 3 1 31 15 39 59 36 35 8 0 4 45 19 27 53 51 50 49 23 16 2 9 10 58 30 40 57 56 61 37 34 13 25 6 7 17 18 48 44 43 42 63 62 24 22 38 14 12 28 29 60 55 54 52 41
21 33 31 11 47 20 45 19 5 36 35 32 58 30 10 3 1 49 23 50 26 46 48 44 18 4 8 0 34 13 37 59 15 39 60 56 57 29 9 16 2 22 7 6 24 51 27 53 62 63 42 43 17 25 28 12 14 38 61 40 54 55 41 52
22 28 34 12 41 17 48 49 6 54 55 9 60 58 36 2 13 62 52 43 4 18 63 45 47 23 0 7 61 38 40 29 1 10 57 31 30 33 35 3 14 51 25 24 27 42 5 19 53 44 21 20 50 8 59 37 16 15 56 11 39 32 46 26
23 35 13 36 50 47 7 6 49 37 59 33 14 2 12 58 34 24 51 46 21 20 25 0 17 22 45 48 38 61 39 32 31 11 16 1 3 9 28 30 60 52 63 62 53 26 19 5 27 8 4 18 41 44 55 54 57 56 15 10 40 29 43 42
24 14 37 38 7 25 50 51 52 13 2 16 35 59 61 55 54 23 6 0 27 8 47 46 63 62 43 41 36 12 1 3 40 15 33 39 32 57 60 29 28 49 17 22 4 5 42 26 21 20 53 44 48 18 58 34 9 10 11 56 31 30 45 19
25 38 16 14 52 24 27 8 7 55 54 37 40 15 3 13 2 43 41 62 50 51 42 26 5 0 23 6 29 28 60 61 35 59 56 32 39 11 1 36 12 18 22 17 48 63 47 46 44 53 20 21 4 49 10 9 34 58 57 33 30 31 19 45
26 32 15 39 20 46 8 27 53 11 33 59 3 16 40 57 56 5 21 47 51 50 0 25 43 42 63 44 1 31 36 35 61 37 2 38 14 55 29 60 30 4 45 19 49 23 62 24 6 7 52 41 18 48 9 10 58 34 13 54 12 28 17 22
27 16 40 15 25 8 43 42 26 38 14 3 55 29 56 32 39 52 24 7 5 0 41 18 44 53 20 46 54 37 13 2 11 1 28 10 9 30 57 33 59 62 50 51 23 6 21 4 22 17 19 45 63 47 60 61 35 36 12 31 34 58 48 49
28 22 41 17 34 12 54 55 9 48 49 6 62 52 43 4 18 60 58 36 2 13 61 38 40 29 1 10 63 45 47 23 0 7 51 25 24 27 42 5 19 57 31 30 33 35 3 14 59 37 16 15 56 11 53 44 21 20 50 8 46 26 39 32
29 42 18 43 56 40 10 9 55 44 53 27 19 4 17 52 41 30 57 39 16 15 31 1 12 28 38 54 45 63 46 26 25 8 21 0 5 6 22 24 62 58 61 60 59 32 14 3 33 11 2 13 34 37 49 48 51 50 20 7 47 23 36 35
30 19 44 45 10 31 56 57 58 18 4 21 42 53 63 49 48 29 9 1 33 11 40 39 61 60 36 34 43 17 0 5 47 20 27 46 26 51 62 23 22 55 12 28 2 3 35 32 16 15 59 37 54 13 52 41 6 7 8 50 25 24 38 14
31 45 21 19 58 30 33 11 10 49 48 44 47 20 5 18 4 36 34 60 56 57 35 32 3 1 29 9 23 22 62 63 42 53 50 26 46 8 0 43 17 13 28 12 54 61 40 39 37 59 15 16 2 55 7 6 41 52 51 27 24 25 14 38
32 26 20 46 15 39 11 33 59 8 27 53 5 21 47 51 50 3 16 40 57 56 1 31 36 35 61 37 0 25 43 42 63 44 4 45 19 49 23 62 24 2 38 14 55 29 60 30 9 10 58 34 13 54 6 7 52 41 18 48 17 22 12 28
33 21 47 20 31 11 36 35 32 45 19 5 49 23 50 26 46 58 30 10 3 1 34 13 37 59 15 39 48 44 18 4 8 0 22 7 6 24 51 27 53 60 56 57 29 9 16 2 28 12 14 38 61 40 62 63 42 43 17 25 41 52 54 55
34 48 22 49 60 58 28 12 36 62 63 45 41 17 6 47 23 54 61 57 31 30 55 9 2 13 33 35 52 51 53 44 21 19 43 4 18 0 7 20 50 38 59 37 39 56 11 10 40 29 1 3 14 32 25 24 46 26 42 5 27 8 16 15
35 23 50 47 13 36 37 59 33 7 6 49 24 51 46 21 20 14 2 12 58 34 38 61 39 32 31 11 25 0 17 22 45 48 52 63 62 53 26 19 5 16 1 3 9 28 30 60 55 54 57 56 15 10 27 8 4 18 41 44 43 42 40 29
36 47 49 23 33 35 58 34 13 21 20 50 45 48 22 7 6 31 11 32 37 59 30 60 28 12 14 2 19 5 26 46 24 51 44 62 63 41 17 25 0 10 3 1 15 39 38 61 56 57 54 55 9 16 18 4 8 27 53 52 42 43 29 40
37 50 24 51 35 59 14 38 61 23 47 46 7 25 52 63 62 13 36 33 39 32 2 16 55 54 57 60 6 49 21 20 53 26 0 27 8 43 41 44 48 12 58 34 31 11 56 15 1 3 40 29 28 30 17 22 45 19 5 42 4 18 9 10
38 25 52 24 16 14 55 54 37 27 8 7 43 41 62 50 51 40 15 3 13 2 29 28 60 61 35 59 42 26 5 0 23 6 18 22 17 48 63 47 46 56 32 39 11 1 36 12 10 9 34 58 57 33 44 53 20 21 4 49 19 45 30 31
39 46 53 26 59 32 57 56 15 51 50 20 63 44 42 8 27 61 37 35 11 33 60 30 29 40 3 16 62 24 23 47 5 21 48 19 45 18 43 0 25 54 14 38 13 36 1 31 34 58 10 9 55 2 41 52 7 6 49 4 22 17 28 12
40 43 27 42 55 29 16 15 56 52 41 18 25 8 26 44 53 38 54 28 10 9 14 3 32 39 30 57 24 62 22 17 19 4 7 5 0 20 46 45 63 37 60 61 34 12 31 1 13 2 11 33 59 58 50 51 48 49 6 21 23 47 35 36
41 54 28 55 62 52 22 17 43 60 61 38 34 12 9 40 29 48 63 51 25 24 49 6 4 18 27 42 58 57 59 37 16 14 36 2 13 1 10 15 56 45 53 44 46 50 8 7 47 23 0 5 19 26 31 30 39 32 35 3 33 11 21 20
42 29 56 40 18 43 44 53 27 10 9 55 30 57 39 16 15 19 4 17 52 41 45 63 46 26 25 8 31 1 12 28 38 54 58 61 60 59 32 14 3 21 0 5 6 22 24 62 49 48 51 50 20 7 33 11 2 13 34 37 36 35 47 23
43 40 55 29 27 42 52 41 18 16 15 56 38 54 28 10 9 25 8 26 44 53 24 62 22 17 19 4 14 3 32 39 30 57 37 60 61 34 12 31 1 7 5 0 20 46 45 63 50 51 48 49 6 21 13 2 11 33 59 58 35 36 23 47
44 56 30 57 42 53 19 45 63 29 40 39 10 31 58 61 60 18 43 27 46 26 4 21 49 48 51 62 9 55 16 15 59 32 1 33 11 36 34 37 54 17 52 41 25 8 50 20 0 5 47 23 22 24 12 28 38 14 3 35 2 13 6 7
45 31 58 30 21 19 49 48 44 33 11 10 36 34 60 56 57 47 20 5 18 4 23 22 62 63 42 53 35 32 3 1 29 9 13 28 12 54 61 40 39 50 26 46 8 0 43 17 7 6 41 52 51 27 37 59 15 16 2 55 14 38 24 25
46 39 59 32 53 26 51 50 20 57 56 15 61 37 35 11 33 63 44 42 8 27 62 24 23 47 5 21 60 30 29 40 3 16 54 14 38 13 36 1 31 48 19 45 18 43 0 25 41 52 7 6 49 4 34 58 10 9 55 2 28 12 22 17
47 36 33 35 49 23 21 20 50 58 34 13 31 11 32 37 59 45 48 22 7 6 19 5 26 46 24 51 30 60 28 12 14 2 10 3 1 15 39 38 61 44 62 63 41 17 25 0 18 4 8 27 53 52 56 57 54 55 9 16 29 40 42 43
48 34 60 58 22 49 62 63 45 28 12 36 54 61 57 31 30 41 17 6 47 23 52 51 53 44 21 19 55 9 2 13 33 35 38 59 37 39 56 11 10 43 4 18 0 7 20 50 25 24 46 26 42 5 40 29 1 3 14 32 16 15 27 8
49 58 36 34 45 48 47 23 22 31 30 60 33 35 13 28 12 21 19 44 62 63 20 50 7 6 41 17 11 10 56 57 54 61 32 37 59 14 2 55 9 5 18 4 42 53 52 51 26 46 24 25 0 43 3 1 29 40 39 38 15 16 8 27
50 37 35 59 24 51 23 47 46 14 38 61 13 36 33 39 32 7 25 52 63 62 6 49 21 20 53 26 2 16 55 54 57 60 12 58 34 31 11 56 15 0 27 8 43 41 44 48 17 22 45 19 5 42 1 3 40 29 28 30 9 10 4 18
51 59 61 37 46 50 63 62 24 39 32 35 57 60 54 14 38 53 26 20 23 47 44 48 41 52 7 25 56 15 11 33 13 36 30 34 58 28 55 2 16 42 8 27 5 21 6 49 19 45 22 17 43 0 29 40 3 1 31 12 10 9 18 4
52 55 38 54 43 41 25 24 62 40 29 28 16 14 37 60 61 27 42 18 22 17 8 7 50 51 48 63 15 56 10 9 34 12 3 13 2 35 59 58 57 26 44 53 19 4 49 6 5 0 23 47 46 45 32 39 30 31 1 36 11 33 20 21
53 57 39 56 63 44 46 26 42 61 60 30 59 32 15 29 40 51 62 48 19 45 50 20 8 27 18 43 37 54 34 58 10 31 35 11 33 3 16 9 55 24 41 52 22 49 4 21 23 47 5 0 25 17 14 38 28 12 36 1 13 2 7 6
54 41 62 52 28 55 60 61 38 22 17 43 48 63 51 25 24 34 12 9 40 29 58 57 59 37 16 14 49 6 4 18 27 42 45 53 44 46 50 8 7 36 2 13 1 10 15 56 31 30 39 32 35 3 47 23 0 5 19 26 21 20 33 11
55 52 43 41 38 54 40 29 28 25 24 62 27 42 18 22 17 16 14 37 60 61 15 56 10 9 34 12 8 7 50 51 48 63 26 44 53 19 4 49 6 3 13 2 35 59 58 57 32 39 30 31 1 36 5 0 23 47 46 45 20 21 11 33
56 44 42 53 30 57 29 40 39 19 45 63 18 43 27 46 26 10 31 58 61 60 9 55 16 15 59 32 4 21 49 48 51 62 17 52 41 25 8 50 20 1 33 11 36 34 37 54 12 28 38 14 3 35 0 5 47 23 22 24 6 7 2 13
57 53 63 44 39 56 61 60 30 46 26 42 51 62 48 19 45 59 32 15 29 40 37 54 34 58 10 31 50 20 8 27 18 43 24 41 52 22 49 4 21 35 11 33 3 16 9 55 14 38 28 12 36 1 23 47 5 0 25 17 7 6 13 2
58 49 45 48 36 34 31 30 60 47 23 22 21 19 44 62 63 33 35 13 28 12 11 10 56 57 54 61 20 50 7 6 41 17 5 18 4 42 53 52 51 32 37 59 14 2 55 9 3 1 29 40 39 38 26 46 24 25 0 43 8 27 15 16
59 51 46 50 61 37 39 32 35 63 62 24 53 26 20 23 47 57 60 54 14 38 56 15 11 33 13 36 44 48 41 52 7 25 42 8 27 5 21 6 49 30 34 58 28 55 2 16 29 40 3 1 31 12 19 45 22 17 43 0 18 4 10 9
60 62 48 63 54 61 34 58 57 41 52 51 22 49 45 53 44 28 55 38 59 37 12 36 31 30 39 56 17 43 25 24 46 50 6 47 23 21 19 26 42 9 40 29 16 14 32 35 2 13 33 11 10 15 4 18 27 8 7 20 0 5 1 3
61 63 51 62 57 60 59 37 54 53 44 48 46 50 24 41 52 39 56 30 34 58 32 35 14 38 28 55 26 42 19 45 22 49 20 23 47 7 25 17 43 15 29 40 10 31 12 36 11 33 13 2 16 9 8 27 18 4 21 6 5 0 3 1
62 60 54 61 48 63 41 52 51 34 58 57 28 55 38 59 37 22 49 45 53 44 17 43 25 24 46 50 12 36 31 30 39 56 9 40 29 16 14 32 35 6 47 23 21 19 26 42 4 18 27 8 7 20 2 13 33 11 10 15 1 3 0 5
63 61 57 60 51 62 53 44 48 59 37 54 39 56 30 34 58 46 50 24 41 52 26 42 19 45 22 49 32 35 14 38 28 55 15 29 40 10 31 12 36 20 23 47 7 25 17 43 8 27 18 4 21 6 11 33 13 2 16 9 3 1 5 0
