'Bell.two_three_ordering' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_add_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_add_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_sub_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_sub_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_smul_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_smul_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_zero_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_zero_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_neg_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_neg_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_one_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_conjTranspose' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_sum_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_sum_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.positive_trace_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.expectation_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.state_expectation_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.state_expectation_square_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.state_expectation_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.tensor_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.born_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.born_eq_expectation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.born_sum_alice' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.born_sum_bob' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.born_normalization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strategy_behavior_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strategy_behavior_normalization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strategy_no_signaling_to_alice' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.strategy_no_signaling_to_bob' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_perturbation_marginals' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_scalar_relation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_effect_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_fullrank_effect_deterministic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_nondeterministic_effects_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.probabilitySimplex_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.combinations_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.combinations_subset_convexHull' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.convexHull_eq_finite_combinations' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.compact_convexHull' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_midpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.extreme_positive_combination' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.contains_compact_of_contains_extreme' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.mem_range_iff_annihilators' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.finite_functional_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.nullRowMap_single' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metricDifferential_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metricDifferential_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metric_stationary_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.exists_metric_increment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.exists_compatible_metric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.UnnormalizedAssemblage.root_hermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.UnnormalizedAssemblage.root_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.UnnormalizedAssemblage.root_invertible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.UnnormalizedAssemblage.normalizedAssemblage_invertible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.UnnormalizedAssemblage.normalized_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.UnnormalizedAssemblage.behavior_mem_rawPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frameGram_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frameGram_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.steeringFrame_mulVec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.steeringFrame_time' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.steeringFrame_square' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frame_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.isOpen_framePositive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frame_table_mem_rawPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.symmetricMatrix_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.symmetricCoordinates_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.symmetricMatrix_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frameGram_hasStrictFDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.gramCoordinates_hasStrictFDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.gramMatrixDerivative_right_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.gramDerivative_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.exists_local_gram_lift' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.eventually_feasible_mem_rawPOVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.physical_maximum_is_incidence_maximum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.exists_level_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.continuous_weightedGram' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.quadratic_gap_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.eventually_score_improvement' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.not_local_max_of_uphill_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.linearOfMatrix_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixOfLinear_mulVec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixOfLinear_id' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixOfLinear_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixOfLinear_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.linearOfMatrix_matrixOfLinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixPair_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixPair_transpose' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixPair_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixPair_add_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixPair_sub_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixPair_smul_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.pullbackForm_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.chartMetric_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.chartMetric_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.chartMetric_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metricVariation_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metricVariation_quadratic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.chartMetric_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.chartMetric_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedPairing_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedCross_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedGram_zero_of_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedGram_add_metric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedGram_sub_metric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedCross_add_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedGram_add_frame' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedGram_smul_frame' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.exact_stationary_score_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.contDiff_incidenceConstraints' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.polynomial_score_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.matrixPair_mul_frames' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.constraintDerivativeCLM_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.nullDerivative_symmetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.incidenceNull_hasStrictFDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.probabilityBlock_hasStrictFDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.incidenceMass_hasStrictFDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.incidenceConstraints_hasStrictFDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.nullDerivativeSeed_values' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.nullDerivative_seed_preimage' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.constraintDerivative_radial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.constraintDerivative_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.constraintDerivative_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frameEquiv_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.kernel_dimension_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.uphill_annihilating_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedGram_frame_action' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.exists_positive_normalized_tangent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.high_rank_not_local_max' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.rank_zero_rows' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.rank_one_row_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.rank_one_stationarity_impossible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.chartMetric_parameterVector' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.timeFunctional_eq_matrixPair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.rank_zero_block_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.tableOfBlock_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.actedBlock_mulVec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.actedBlock_id' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.actedTable_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.sum_effectRay' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.tableOfBlock_bob_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.reset_effectRay' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.actedTable_reset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.actedTable_reset_physical' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.blockMass_actedBlock' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedPairing_actedBlock' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.multipliers_positive_from_physical_separator' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.tableOfBlock_eq_transformedMetricTable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.exists_normalized_lagrange' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.constraint_functional_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.feasible_iff_constraints_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.exists_incidence_lagrange' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.lagrange_frame_variations' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.lagrange_metric_variations' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metric_invertible_of_block' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.frame_invertible_of_block' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.lagrange_block_stationarity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.lagrange_metric_stationarity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.exists_incidence_stationarity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.deterministic_behavior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.deterministic_mem_rawPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.finite_local_mixture_mem_convexPVM' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.transportMixture_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.transportMixture_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rankZeroTable_mem_of_transport' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.rankZeroTable_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.binary_circuit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.ternary_circuit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.circuit_kernel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.weightedOuter_injective_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metric_quadratic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.coefficient_rays_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.metric_normalization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.phi_differences' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.phi_minor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.inverse_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.inverse_homogeneous' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.generic_recovery' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.phi_zero_null_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.baseLines_phi_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.cross_x2_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.cross_x3_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.cross_x2_is_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.cross_x3_is_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.direct_zero_chart_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.linearEliminant_of_common_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.resultant01' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.resultant23' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.simultaneous_coefficient_obstruction01' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.simultaneous_coefficient_obstruction23' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.null01_coefficient_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.null23_coefficient_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.Lorentz.bilinear_square_completion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.positive_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.positive_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.positive_trace_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.positive_trace_positive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.positive_null_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.positive_definite_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.isOpen_futureTimelike' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.eventually_positive_perturbation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.exists_positive_perturbation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Bell.qubit_cayley_hamilton_entrywise' depends on axioms: [propext, Classical.choice, Quot.sound]
