rank,id,problem_number,title,category,ev,ev_low,ev_high,impact,p_solve,p_valid_open,assessment,local_status,upstream_status,eligible,present,holds,reasons,source_url
13,20000886,AIM-COMBINATORICS-0011,Expansion can hide only global Sidorenko obstructions,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/highdimdiscrete/3/
14,20000895,AIM-COMBINATORICS-0020,"Arithmetic removal in cyclic groups: corrected quantifiers, matching distances, and exact CRT-compatible lifts",Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/addcombapp/1/
15,20000923,AIM-COMBINATORICS-0048,Link structure and sharp edge bounds for three-edge tight-path-free triple systems,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://www.overleaf.com/read/mnvcscjjysvg
16,20000950,AIM-COMBINATORICS-0075,A small Fano-good tight path and the connectedness convention,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://www.overleaf.com/read/mnvcscjjysvg
17,20000953,AIM-COMBINATORICS-0078,Free-cut decomposition for ordered matchings versus triangles,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://www.overleaf.com/read/mnvcscjjysvg
18,20000966,AIM-COMBINATORICS-0091,Fourier completion of a roots-of-unity hypergraph Laplacian,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/pastworkshops/chipfiringproblems.pdf
19,20000975,AIM-COMBINATORICS-0100,Semisimple character partitions and a rational cycle obstruction,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/pastworkshops/chipfiringproblems.pdf
20,20001004,AIM-COMBINATORICS-0129,Fixed-graph recognition and a rotation certificate for maximal harmonic actions,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/pastworkshops/chipfiringproblems.pdf
21,20001005,AIM-COMBINATORICS-0130,Cone-stack moduli and stabilizer criteria for harmonic metric-graph quotients,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/pastworkshops/chipfiringproblems.pdf
22,20001083,AIM-COMBINATORICS-0208,Sparse relative hypergraph regularity and its necessary hypotheses,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/additivecomb/additivecomb.pdf
23,20001092,AIM-COMBINATORICS-0217,Ceiling-aware bounds and a carry-free density Hales-Jewett construction,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/additivecomb/additivecomb.pdf
24,20001136,AIM-COMBINATORICS-0261,Cantor-direction Kakeya sets and a Hölder graph obstruction,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/additivecomb/additivecomb.pdf
25,20001186,AIM-COMPUTATION-0024,Exact endpoint and stability census for the symmetric triangle,Computer Science,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/compalgstat/compalgstat.pdf
26,20001309,AIM-CONVEX_GEOMETRY-0041,Lattice facet-count constraints and nonsymmetric projection reconstruction,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/fourierconvex/fourierconvex.pdf
27,20001382,AIM-DYNAMICAL_SYSTEMS-0040,An odometer obstruction to geometric polynomial realization,Dynamical Systems,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/galarithdyn/14/
28,20001426,AIM-DYNAMICAL_SYSTEMS-0084,"Relative PCF rigidity, the necessary quotient, and a unicritical slice",Dynamical Systems,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/finitedynamics/2/
29,20001637,AIM-GEOMETRIC_GROUP_THEORY-0146,Deep fall: automatic regimes and a closed-range analytic counterexample,Group Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/l2invariantsgroups/4/
30,20001639,AIM-GEOMETRIC_GROUP_THEORY-0148,"The free-factor complex, recursive corank-one links, and a dynamical transfer test",Group Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/outerauto/outerauto.pdf
31,20001642,AIM-GEOMETRIC_GROUP_THEORY-0151,"Directed axes, power minsets, and the shortcut defect in Lipschitz Outer space",Group Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/outerauto/outerauto.pdf
32,20001660,AIM-GEOMETRIC_GROUP_THEORY-0169,The Lorentz endpoint behind Lafforgue's finite-set RD condition,Group Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/rapiddecay/rapiddecay.pdf
33,20001695,AIM-GEOMETRY-0033,A derived exact filling from a 3D plabic graph,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/clusterbraid/7/
34,20001801,AIM-GEOMETRY-0139,"Rank-one hyperholomorphic lines, Fourier-Mukai graph mirrors, and a proper-support obstruction",Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/spectralhiggs/1/
35,20001920,AIM-GEOMETRY-0258,"Connected Morse fibers, Reeb graphs, and pants width",Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/pastworkshops/geodesicsproblems.pdf
36,20001984,AIM-GEOMETRY-0322,Mixed-cell multiplicity and the real parity obstruction,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/amoebas/amoebas.pdf
37,20001998,AIM-GEOMETRY-0336,Robust compact certificates and a countable hierarchy for higher-codimension amoebas,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/amoebas/amoebas.pdf
38,20002005,AIM-GEOMETRY-0343,"Compact tropicalization, Monge–Ampère, curve realizability, and a sharp circle model",Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/amoebas/amoebas.pdf
39,20002007,AIM-GEOMETRY-0345,Abstract tropical spaces and the actual fibers of phase tropicalization,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/amoebas/amoebas.pdf
40,20002071,AIM-GEOMETRY-0409,Strong Weinstein uniqueness and a stabilization-chain audit,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/contactgeom2/contactgeom2.pdf
41,20002285,AIM-LOGIC-0061,One-universal definitions of integers in number fields,Logic,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/pastworkshops/definabilityinntproblems.pdf
42,20002331,AIM-LOGIC-0107,A central-quotient obstruction to metric ample generics,Logic,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/continuouslogic/continuouslogic.pdf
43,20002339,AIM-LOGIC-0115,A bounded-existential MRDP fragment and a certificate-growth audit,Logic,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/hilberts10th/hilberts10th.pdf
44,20002456,AIM-PDES-0068,Uniform-time matrix-viscosity estimates at a fully damped equilibrium,Partial Differential Equations,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/balancelaws/balancelaws.pdf
45,20002474,AIM-PDES-0086,Critical-level surgery for nonconvex Aubry problems,Partial Differential Equations,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/dynpde/dynpde.pdf
46,20002543,AIM-PHYSICS-0051,Matrix virial decomposition and a collision-free tensor stress test,Mathematical Physics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/varcelest/varcelest.pdf
47,20002589,AIM-PROBABILITY-0031,A uniform-in-q product-chain cutoff and the Potts lower-bound gap,Probability,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/markovmixing/1/
48,20002710,AIM-PROBABILITY-0152,Type-B extreme diameters and a dihedral meander determinant,Probability,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/braidgroups/braidgroups.pdf
49,20002716,AIM-PROBABILITY-0158,"LCM balancing, Coxeter-like quotient obstructions, and atomic tameness",Probability,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/braidgroups/braidgroups.pdf
50,20002719,AIM-PROBABILITY-0161,An exact orthogonal-spike model for infinitesimal type-B cumulants,Probability,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/braidgroups/braidgroups.pdf
51,20002889,AIM-SEVERAL_COMPLEX_VARIABLES-0047,Residual obstruction to Artin approximation of formal CR maps,Analysis,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/complexitycrmap/complexitycrmap.pdf
52,20003018,AIM-TOPOLOGY-0106,Homology from the edge Hom complex,Topology,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/combhomotop/5/
53,20003242,AIM-OTHER-0049,A height-density model for non-cyclotomic candidate fusion graphs,Miscellaneous,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/fusioncat/4/
54,20003244,AIM-OTHER-0051,A conjugate-order ambiguity and an above-2 spectral obstruction,Miscellaneous,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,http://aimpl.org/fusioncat/4/
55,20003341,AIM-OTHER-0148,Admissibility-certified periodic paths for triangles and the 2026 polygon-existence preprint,Miscellaneous,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/measrigid/measrigid.pdf
56,20003342,AIM-OTHER-0149,Angular-factor dichotomy for triangular billiards,Miscellaneous,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://aimath.org/WWN/measrigid/measrigid.pdf
57,30000022,OWR-711-002,Connectivity and Hamilton Circles in Locally Finite Graphs,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2004/01
58,30000026,OWR-711-009,Coloring Dense Triangle-Free Graphs and Hajós' Conjecture,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2004/01
59,30000051,OWR-723-004,Low-Randomness Constructions of Low-Discrepancy Point Sets,Analysis,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2004/13
60,30000128,OWR-757-006,Matrix-Algebra Formalisms for Interacting Particle Models,Probability,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2004/43
61,30000174,OWR-784-006,Surface Chromatic Width and Bounded-Facewidth Snarks,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2005/03
62,30000197,OWR-792-013,Nonadaptive Polynomial Stabilization of Minimum-Phase Linear Systems,Computer Science,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2005/11
63,30000223,OWR-824-007,Injective Ext Systems for Cofinal Ideal Chains,Algebra,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2005/19
64,30000274,OWR-1053-003,Minimal-Coefficient Polynomial Selection for the Number Field Sieve,Number Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2005/32
65,30000493,OWR-1274-009,Dense Settling and Arboreal Galois Representations,Number Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2006/25
66,30000496,OWR-1274-014,Finite Groups Admitting Beauville Structures,Group Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2006/25
67,30000504,OWR-1274-024,Uniformly Bounded Ramification in $p$-Frattini-Tower Realizations,Number Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2006/25
68,30000568,OWR-1323-005,Spectral and Finite-Dimensional Problems for Hypercyclic Tuples,Dynamical Systems,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2006/37
69,30000643,OWR-1452-007,Lifting Polynomial Automorphisms from Dual Numbers,Algebra,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/01
70,30000726,OWR-1532-014,Lovász Removable-Path Conjecture for Three Prescribed Vertices,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/16
71,30000733,OWR-1536-003,Global Strategies in Irregular Graph-Construction Games,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/20
72,30000736,OWR-1536-007,Sub-Twice-Maximum-Degree Game Chromatic Index Bounds,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/20
73,30000738,OWR-1536-009,Minimum-Degree Lower Bounds for Game Chromatic Index,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/20
74,30000747,OWR-1536-019,Move Complexity and Surplus in Maker Games,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/20
75,30000820,OWR-1596-002,Noncommutative Alexander Polynomials and the Thurston Norm,Topology,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/40
76,30000866,OWR-1734-006,Paramodular Conjecture for Abelian Varieties,Number Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/51
77,30000884,OWR-1738-009,Torsion-Unit Conjugacy and Local Endomorphism Orders,Algebra,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/55
78,30000888,OWR-1739-002,Half-Distance Decoding for Hypergraph Codes,Computer Science,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2007/56
79,30000920,OWR-1787-005,Polynomial Stability of Universal Taylor Series,Analysis,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2008/06
80,30000991,OWR-2040-003,Realization of Persistence Pairings by Filtration Functions,Topology,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2008/29
81,30001002,OWR-2043-007,Polynomial Freiman–Ruzsa Conjecture over Binary Vector Spaces,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2008/32
82,30001088,OWR-2094-005,Conformal Radius Bounds for Polynomial Siegel Disks,Dynamical Systems,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2008/48
83,30001135,OWR-3385-006,Homological Structure of Planar Self-Stress Identities,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2009/02
84,30001356,OWR-4128-001,Finite-Topology Embedded Minimal Surfaces,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2009/45
85,30001379,OWR-4135-010,Orbit-Closure Obstructions for Permanent–Determinant Separation,Computer Science,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2009/52
86,30001428,OWR-4212-008,Boundaries of Random Hyperbolic Level Graphs,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2010/11
87,30001471,OWR-4333-015,Coarse-Manifold Fillings in S-Arithmetic Lattices,Group Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2010/20
88,30001526,OWR-4414-001,Explicit Deterministic Restricted Isometry Matrices,Computer Science,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2010/33
89,30001536,OWR-4416-005,Minimally Ramified Extensions with Prescribed Galois Group,Number Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2010/35
90,30001559,OWR-4425-016,Digit Sum Bias and Nonvanishing Hankel Determinants,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2010/37
91,30001670,OWR-4791-029,Chromatic Boundedness of Wheel-Free Graphs,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/01
92,30001671,OWR-4791-031,Monochromatic Concatenations of Permutation Words,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/01
93,30001674,OWR-4791-034,Sparse Quadrilateral Removal at the Extremal Threshold,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/01
94,30001697,OWR-4798-016,Weak Knaster Conjecture,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/08
95,30001715,OWR-4800-004,Compactified Jacobians and Kac Polynomials of Quivers,Algebra,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/10
96,30001853,OWR-11128-006,Power Decay for Multilinear Oscillatory Integrals,Analysis,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/36
97,30001871,OWR-11133-005,Periodicity and Definability of Newton–Okounkov Bodies,Algebraic Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/41
98,30001878,OWR-11135-005,Zaremba’s Bounded Continued-Fraction Conjecture,Number Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/43
99,30001896,OWR-11136-028,Shift Chain Colorings and Disk Covering Paths,Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/44
100,30001897,OWR-11136-029,Linear Bounds for Monotone Crossing Numbers,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/44
101,30001935,OWR-11451-008,Flows in Signed Graphs and Binary Matroids,Graph Theory,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,partially_solved,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2011/53
102,30001952,OWR-11568-005,Torus Quotients with Second Betti Number One,Algebraic Geometry,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2012/01
103,30002028,OWR-11781-001,Supersaturation Blow-Ups in Uniform Hypergraphs,Combinatorics,0.06075,0.0081,0.243,3,0.03375,0.6,automatic,unreviewed,open,True,True,,computable_objects; construction_or_counterexample,https://doi.org/10.4171/owr/2012/19
